,StartTime,EndTime,MinutesAsleep,MinutesAwake,NumberOfAwakenings,TimeInBed,MinutesRemSleep,MinutesLightSleep,MinutesDeepSleep,Nights
74,"Thursday, 19 March 2020","Thursday, 19 March 2020",390,38,2,438,,,,75
75,"Friday, 20 March 2020","Friday, 20 March 2020",337,26,0,379,,,,76
76,"Saturday, 21 March 2020","Saturday, 21 March 2020",351,31,2,382,,,,77
77,"Sunday, 22 March 2020","Sunday, 22 March 2020",297,16,0,327,,,,78
78,"Monday, 23 March 2020","Monday, 23 March 2020",352,31,1,398,,,,79
79,"Monday, 23 March 2020","Monday, 23 March 2020",69,4,3,73,,,,80
80,"Tuesday, 24 March 2020","Tuesday, 24 March 2020",334,28,1,362,,,,81
81,"Wednesday, 25 March 2020","Wednesday, 25 March 2020",349,35,1,385,,,,82
82,"Wednesday, 25 March 2020","Wednesday, 25 March 2020",93,1,1,94,,,,83
83,"Thursday, 26 March 2020","Thursday, 26 March 2020",383,38,1,439,,,,84
84,"Friday, 27 March 2020","Friday, 27 March 2020",288,34,2,322,,,,85
85,"Sunday, 29 March 2020","Sunday, 29 March 2020",238,20,2,258,,,,86
86,"Sunday, 29 March 2020","Sunday, 29 March 2020",81,9,4,90,,,,87
87,"Monday, 30 March 2020","Monday, 30 March 2020",161,6,0,167,,,,88
88,"Tuesday, 31 March 2020","Tuesday, 31 March 2020",347,28,4,376,,,,89
89,"Wednesday, 1 April 2020","Wednesday, 1 April 2020",252,7,4,259,,,,90
90,"Wednesday, 1 April 2020","Wednesday, 1 April 2020",114,2,1,116,,,,91
91,"Thursday, 2 April 2020","Thursday, 2 April 2020",255,5,5,261,,,,92
92,"Friday, 3 April 2020","Friday, 3 April 2020",305,27,1,332,,,,93
93,"Saturday, 4 April 2020","Saturday, 4 April 2020",313,41,3,354,,,,94
94,"Saturday, 4 April 2020","Saturday, 4 April 2020",98,4,3,102,,,,95
95,"Sunday, 5 April 2020","Sunday, 5 April 2020",323,40,2,364,,,,96
96,"Monday, 6 April 2020","Monday, 6 April 2020",361,47,2,408,,,,97
97,"Tuesday, 7 April 2020","Tuesday, 7 April 2020",344,39,3,383,,,,98
